rep,n,d,N,type,method,metric,value
20,50,2,100,linear,NPT-FR,Marginal,5.886499533683275
20,50,2,100,linear,NPT-FR,Correlation,0.006181940441636616
20,50,2,100,linear,Marginal-FR,Marginal,5.886499533683275
20,50,2,100,linear,Marginal-FR,Correlation,0.019846887133080457
20,50,2,100,linear,Gaussian-FR,Marginal,7.196352339400215
20,50,2,100,linear,Gaussian-FR,Correlation,0.0077261780896101286
21,50,2,100,linear,NPT-FR,Marginal,5.816778385588959
21,50,2,100,linear,NPT-FR,Correlation,0.005401744586882306
21,50,2,100,linear,Marginal-FR,Marginal,5.816778385588959
21,50,2,100,linear,Marginal-FR,Correlation,0.021082249858779507
21,50,2,100,linear,Gaussian-FR,Marginal,7.266602366840214
21,50,2,100,linear,Gaussian-FR,Correlation,0.0057395367543890885
22,50,2,100,linear,NPT-FR,Marginal,6.461866267002972
22,50,2,100,linear,NPT-FR,Correlation,0.007614284302584398
22,50,2,100,linear,Marginal-FR,Marginal,6.461866267002972
22,50,2,100,linear,Marginal-FR,Correlation,0.0185690304357936
22,50,2,100,linear,Gaussian-FR,Marginal,7.746531953738415
22,50,2,100,linear,Gaussian-FR,Correlation,0.006262536683350797
23,50,2,100,linear,NPT-FR,Marginal,7.001384672413998
23,50,2,100,linear,NPT-FR,Correlation,0.005077798941890994
23,50,2,100,linear,Marginal-FR,Marginal,7.001384672413998
23,50,2,100,linear,Marginal-FR,Correlation,0.02134296508902157
23,50,2,100,linear,Gaussian-FR,Marginal,8.64832718162528
23,50,2,100,linear,Gaussian-FR,Correlation,0.005441090929819485
24,50,2,100,linear,NPT-FR,Marginal,5.845012058866494
24,50,2,100,linear,NPT-FR,Correlation,0.005282225395511333
24,50,2,100,linear,Marginal-FR,Marginal,5.845012058866494
24,50,2,100,linear,Marginal-FR,Correlation,0.02004092344721471
24,50,2,100,linear,Gaussian-FR,Marginal,7.202052250503823
24,50,2,100,linear,Gaussian-FR,Correlation,0.005466431038437291
25,50,2,100,linear,NPT-FR,Marginal,6.206531642981997
25,50,2,100,linear,NPT-FR,Correlation,0.005388269483234251
25,50,2,100,linear,Marginal-FR,Marginal,6.206531642981997
25,50,2,100,linear,Marginal-FR,Correlation,0.02293380640450237
25,50,2,100,linear,Gaussian-FR,Marginal,7.512686189967937
25,50,2,100,linear,Gaussian-FR,Correlation,0.005707255604042736
26,50,2,100,linear,NPT-FR,Marginal,5.762028615128425
26,50,2,100,linear,NPT-FR,Correlation,0.006208523476098904
26,50,2,100,linear,Marginal-FR,Marginal,5.762028615128425
26,50,2,100,linear,Marginal-FR,Correlation,0.021363876176679487
26,50,2,100,linear,Gaussian-FR,Marginal,7.125976651663158
26,50,2,100,linear,Gaussian-FR,Correlation,0.007200767720001822
27,50,2,100,linear,NPT-FR,Marginal,5.834621660658994
27,50,2,100,linear,NPT-FR,Correlation,0.005578811454238094
27,50,2,100,linear,Marginal-FR,Marginal,5.834621660658994
27,50,2,100,linear,Marginal-FR,Correlation,0.019770349166057667
27,50,2,100,linear,Gaussian-FR,Marginal,7.097668611725213
27,50,2,100,linear,Gaussian-FR,Correlation,0.006520291977584224
28,50,2,100,linear,NPT-FR,Marginal,6.243372807884036
28,50,2,100,linear,NPT-FR,Correlation,0.006560633130641814
28,50,2,100,linear,Marginal-FR,Marginal,6.243372807884036
28,50,2,100,linear,Marginal-FR,Correlation,0.020096992845502544
28,50,2,100,linear,Gaussian-FR,Marginal,7.56353876173273
28,50,2,100,linear,Gaussian-FR,Correlation,0.006313158584572564
29,50,2,100,linear,NPT-FR,Marginal,5.728258888350257
29,50,2,100,linear,NPT-FR,Correlation,0.006193462991978045
29,50,2,100,linear,Marginal-FR,Marginal,5.728258888350257
29,50,2,100,linear,Marginal-FR,Correlation,0.019978902357287106
29,50,2,100,linear,Gaussian-FR,Marginal,7.047087133612417
29,50,2,100,linear,Gaussian-FR,Correlation,0.006402981867361518
30,50,2,100,linear,NPT-FR,Marginal,6.250260655080281
30,50,2,100,linear,NPT-FR,Correlation,0.0061974872740494305
30,50,2,100,linear,Marginal-FR,Marginal,6.250260655080281
30,50,2,100,linear,Marginal-FR,Correlation,0.020748039543638318
30,50,2,100,linear,Gaussian-FR,Marginal,7.740920737147667
30,50,2,100,linear,Gaussian-FR,Correlation,0.006444301061768198
31,50,2,100,linear,NPT-FR,Marginal,5.8113910568262686
31,50,2,100,linear,NPT-FR,Correlation,0.005174122539910146
31,50,2,100,linear,Marginal-FR,Marginal,5.8113910568262686
31,50,2,100,linear,Marginal-FR,Correlation,0.020414382262145175
31,50,2,100,linear,Gaussian-FR,Marginal,7.409637903623176
31,50,2,100,linear,Gaussian-FR,Correlation,0.006544398725967139
32,50,2,100,linear,NPT-FR,Marginal,5.959318649769031
32,50,2,100,linear,NPT-FR,Correlation,0.005914459848262456
32,50,2,100,linear,Marginal-FR,Marginal,5.959318649769031
32,50,2,100,linear,Marginal-FR,Correlation,0.02116035632307985
32,50,2,100,linear,Gaussian-FR,Marginal,7.277129656345282
32,50,2,100,linear,Gaussian-FR,Correlation,0.006293341193910145
33,50,2,100,linear,NPT-FR,Marginal,5.930300838200997
33,50,2,100,linear,NPT-FR,Correlation,0.00644766655563845
33,50,2,100,linear,Marginal-FR,Marginal,5.930300838200997
33,50,2,100,linear,Marginal-FR,Correlation,0.019769281218054813
33,50,2,100,linear,Gaussian-FR,Marginal,7.418619904382453
33,50,2,100,linear,Gaussian-FR,Correlation,0.006494269003527344
34,50,2,100,linear,NPT-FR,Marginal,5.456641204508675
34,50,2,100,linear,NPT-FR,Correlation,0.0070754905382837
34,50,2,100,linear,Marginal-FR,Marginal,5.456641204508675
34,50,2,100,linear,Marginal-FR,Correlation,0.0217419276494448
34,50,2,100,linear,Gaussian-FR,Marginal,6.821365265288719
34,50,2,100,linear,Gaussian-FR,Correlation,0.00738957918988954
35,50,2,100,linear,NPT-FR,Marginal,5.879975705291348
35,50,2,100,linear,NPT-FR,Correlation,0.005309630001592035
35,50,2,100,linear,Marginal-FR,Marginal,5.879975705291348
35,50,2,100,linear,Marginal-FR,Correlation,0.02132986813421906
35,50,2,100,linear,Gaussian-FR,Marginal,7.439700668494764
35,50,2,100,linear,Gaussian-FR,Correlation,0.005847320643194411
36,50,2,100,linear,NPT-FR,Marginal,5.942802759041372
36,50,2,100,linear,NPT-FR,Correlation,0.0049993766477814654
36,50,2,100,linear,Marginal-FR,Marginal,5.942802759041372
36,50,2,100,linear,Marginal-FR,Correlation,0.02027181360626706
36,50,2,100,linear,Gaussian-FR,Marginal,7.499860567607687
36,50,2,100,linear,Gaussian-FR,Correlation,0.005447578907871708
37,50,2,100,linear,NPT-FR,Marginal,5.803282675640842
37,50,2,100,linear,NPT-FR,Correlation,0.005920127846736949
37,50,2,100,linear,Marginal-FR,Marginal,5.803282675640842
37,50,2,100,linear,Marginal-FR,Correlation,0.020805191142537864
37,50,2,100,linear,Gaussian-FR,Marginal,7.1204575724027315
37,50,2,100,linear,Gaussian-FR,Correlation,0.00633603501996005
38,50,2,100,linear,NPT-FR,Marginal,5.883731127573455
38,50,2,100,linear,NPT-FR,Correlation,0.006263926820936782
38,50,2,100,linear,Marginal-FR,Marginal,5.883731127573455
38,50,2,100,linear,Marginal-FR,Correlation,0.019864988273329175
38,50,2,100,linear,Gaussian-FR,Marginal,7.149615516866062
38,50,2,100,linear,Gaussian-FR,Correlation,0.006070073828463003
39,50,2,100,linear,NPT-FR,Marginal,6.164205823300843
39,50,2,100,linear,NPT-FR,Correlation,0.005820942772084277
39,50,2,100,linear,Marginal-FR,Marginal,6.164205823300843
39,50,2,100,linear,Marginal-FR,Correlation,0.020110184606676462
39,50,2,100,linear,Gaussian-FR,Marginal,7.698686057944924
39,50,2,100,linear,Gaussian-FR,Correlation,0.007728034689526654
40,50,2,100,linear,NPT-FR,Marginal,5.998746473098455
40,50,2,100,linear,NPT-FR,Correlation,0.006556418931497829
40,50,2,100,linear,Marginal-FR,Marginal,5.998746473098455
40,50,2,100,linear,Marginal-FR,Correlation,0.0211936948163844
40,50,2,100,linear,Gaussian-FR,Marginal,7.363542407288297
40,50,2,100,linear,Gaussian-FR,Correlation,0.007021795597725698
41,50,2,100,linear,NPT-FR,Marginal,6.401191629344183
41,50,2,100,linear,NPT-FR,Correlation,0.007158337171326516
41,50,2,100,linear,Marginal-FR,Marginal,6.401191629344183
41,50,2,100,linear,Marginal-FR,Correlation,0.018598604156894977
41,50,2,100,linear,Gaussian-FR,Marginal,7.783981247201977
41,50,2,100,linear,Gaussian-FR,Correlation,0.008942400149699565
42,50,2,100,linear,NPT-FR,Marginal,6.487445536879658
42,50,2,100,linear,NPT-FR,Correlation,0.005273180656276114
42,50,2,100,linear,Marginal-FR,Marginal,6.487445536879658
42,50,2,100,linear,Marginal-FR,Correlation,0.018184371032776352
42,50,2,100,linear,Gaussian-FR,Marginal,7.831093768758906
42,50,2,100,linear,Gaussian-FR,Correlation,0.0056462028558298995
43,50,2,100,linear,NPT-FR,Marginal,5.533950292619313
43,50,2,100,linear,NPT-FR,Correlation,0.006443113442552219
43,50,2,100,linear,Marginal-FR,Marginal,5.533950292619313
43,50,2,100,linear,Marginal-FR,Correlation,0.019610495845783036
43,50,2,100,linear,Gaussian-FR,Marginal,7.014137170855781
43,50,2,100,linear,Gaussian-FR,Correlation,0.00629194293661837
44,50,2,100,linear,NPT-FR,Marginal,5.904527303490687
44,50,2,100,linear,NPT-FR,Correlation,0.005110959342227457
44,50,2,100,linear,Marginal-FR,Marginal,5.904527303490687
44,50,2,100,linear,Marginal-FR,Correlation,0.01966862501560388
44,50,2,100,linear,Gaussian-FR,Marginal,7.10721528975194
44,50,2,100,linear,Gaussian-FR,Correlation,0.00629408950287809
45,50,2,100,linear,NPT-FR,Marginal,6.795956777030689
45,50,2,100,linear,NPT-FR,Correlation,0.006110941553713644
45,50,2,100,linear,Marginal-FR,Marginal,6.795956777030689
45,50,2,100,linear,Marginal-FR,Correlation,0.018085279097647997
45,50,2,100,linear,Gaussian-FR,Marginal,8.19202217630932
45,50,2,100,linear,Gaussian-FR,Correlation,0.006270131854395244
46,50,2,100,linear,NPT-FR,Marginal,6.299963551460493
46,50,2,100,linear,NPT-FR,Correlation,0.005026713893422039
46,50,2,100,linear,Marginal-FR,Marginal,6.299963551460493
46,50,2,100,linear,Marginal-FR,Correlation,0.019759541497570036
46,50,2,100,linear,Gaussian-FR,Marginal,7.609612190847096
