rep,n,d,N,type,method,metric,value
63,50,2,100,linear,Gaussian-FR,Wasserstein,15.745372778854218
64,50,2,100,linear,NPT-FR,Wasserstein,12.533457514313763
64,50,2,100,linear,Marginal-FR,Wasserstein,12.743973373452722
64,50,2,100,linear,Gaussian-FR,Wasserstein,15.803692373127218
65,50,2,100,linear,NPT-FR,Wasserstein,13.437118000303178
65,50,2,100,linear,Marginal-FR,Wasserstein,13.599972765800823
65,50,2,100,linear,Gaussian-FR,Wasserstein,16.32095009214115
66,50,2,100,linear,NPT-FR,Wasserstein,11.858706033494446
66,50,2,100,linear,Marginal-FR,Wasserstein,12.07581071105901
66,50,2,100,linear,Gaussian-FR,Wasserstein,15.419025994851586
67,50,2,100,linear,NPT-FR,Wasserstein,13.618818440022624
67,50,2,100,linear,Marginal-FR,Wasserstein,13.931585794988353
67,50,2,100,linear,Gaussian-FR,Wasserstein,17.01938359215404
68,50,2,100,linear,NPT-FR,Wasserstein,15.554555796516594
68,50,2,100,linear,Marginal-FR,Wasserstein,15.67949410648485
68,50,2,100,linear,Gaussian-FR,Wasserstein,18.566725205909318
69,50,2,100,linear,NPT-FR,Wasserstein,14.203668723407391
69,50,2,100,linear,Marginal-FR,Wasserstein,14.389276775097912
69,50,2,100,linear,Gaussian-FR,Wasserstein,17.58687925102126
70,50,2,100,linear,NPT-FR,Wasserstein,12.261165529586819
70,50,2,100,linear,Marginal-FR,Wasserstein,12.50551682861883
70,50,2,100,linear,Gaussian-FR,Wasserstein,15.720340252644107
71,50,2,100,linear,NPT-FR,Wasserstein,13.314428990994754
71,50,2,100,linear,Marginal-FR,Wasserstein,13.604165943191843
71,50,2,100,linear,Gaussian-FR,Wasserstein,16.91212726701279
72,50,2,100,linear,NPT-FR,Wasserstein,13.288040263375485
72,50,2,100,linear,Marginal-FR,Wasserstein,13.498100831679547
72,50,2,100,linear,Gaussian-FR,Wasserstein,16.25479624125692
73,50,2,100,linear,NPT-FR,Wasserstein,12.301326086180891
73,50,2,100,linear,Marginal-FR,Wasserstein,12.531520585105557
73,50,2,100,linear,Gaussian-FR,Wasserstein,15.68091687613416
